facility_name,bus_num,gen_id,gen_owner,bus_basekv,criteria_nlo,criteria_nhi,criteria_elo,criteria_ehi,pmin,pmax,qmin,qmax,remote_bus,schdvolt,stat,pout,qout,terminalvolt,remote_voltage,violate
KETTLE,669740,11,4,13.80000019,0.94999999,1.04999995,0.89999998,1.10000002,6,102,-50,63,667231,1.00999999,0,0,0,0,1.00999999,
KETTLE,669741,12,4,13.80000019,0.94999999,1.04999995,0.89999998,1.10000002,6,102,-50,63,667231,1.00999999,0,0,0,0,1.00999999,
KEEYASK,669742,1,5,13.80000019,0.94999999,1.04999995,0.89999998,1.10000002,0,99.30000305,-61.40000153,61.40000153,667232,1.02999997,0,0,0,0,1.02999997,
KEEYASK,669743,2,5,13.80000019,0.94999999,1.04999995,0.89999998,1.10000002,0,99.30000305,-61.40000153,61.40000153,667232,1.02999997,0,0,0,0,1.02999997,
KEEYASK,669744,3,5,13.80000019,0.94999999,1.04999995,0.89999998,1.10000002,0,99.30000305,-61.40000153,61.40000153,667232,1.02999997,0,0,0,0,1.02999997,
KEEYASK,669745,4,5,13.80000019,0.94999999,1.04999995,0.89999998,1.10000002,0,99.30000305,-61.40000153,61.40000153,667232,1.02999997,0,0,0,0,1.02999997,
KEEYASK,669746,5,5,13.80000019,0.94999999,1.04999995,0.89999998,1.10000002,0,99.30000305,-61.40000153,61.40000153,667232,1.02999997,0,0,0,0,1.02999997,
KEEYASK,669747,6,5,13.80000019,0.94999999,1.04999995,0.89999998,1.10000002,0,99.30000305,-61.40000153,61.40000153,667232,1.02999997,0,0,0,0,1.02999997,
KEEYASK,669748,7,5,13.80000019,0.94999999,1.04999995,0.89999998,1.10000002,0,99.30000305,-61.40000153,61.40000153,669748,1.02999997,0,0,0,0,1.00661206,
KELSEY,669750,1,7,13.80000019,0.94999999,1.04999995,0.89999998,1.10000002,6,45,-21,21.79999924,667217,1.01999998,0,0,0,0,1.01999998,
KELSEY,669751,2,7,13.80000019,0.94999999,1.04999995,0.89999998,1.10000002,6,45,-21,21.79999924,667217,1.01999998,0,0,0,0,1.01999998,
KELSEY,669752,3,7,13.80000019,0.94999999,1.04999995,0.89999998,1.10000002,6,45,-21,21.79999924,667217,1.01999998,0,0,0,0,1.01999998,
KELSEY,669753,4,7,13.80000019,0.94999999,1.04999995,0.89999998,1.10000002,6,45,-21,21.79999924,667217,1.01999998,0,0,0,0,1.01999998,
KELSEY,669754,5,7,13.80000019,0.94999999,1.04999995,0.89999998,1.10000002,6,45,-21,21.79999924,667217,1.01999998,0,0,0,0,1.01999998,
KELSEY,669755,6,7,13.80000019,0.94999999,1.04999995,0.89999998,1.10000002,6,45,-21,21.79999924,667217,1.01999998,0,0,0,0,1.01999998,
KELSEY,669756,7,7,13.80000019,0.94999999,1.04999995,0.89999998,1.10000002,6,45,-21,21.79999924,667217,1.01999998,0,0,0,0,1.01999998,
WUSKWATIM,669765,1,8,13.80000019,0.94999999,1.04999995,0.89999998,1.10000002,0,73.18000031,-35,45,667019,1.03999996,0,0,0,0,1.03999996,
WUSKWATIM,669766,2,8,13.80000019,0.94999999,1.04999995,0.89999998,1.10000002,0,73.18000031,-35,45,667019,1.03999996,0,0,0,0,1.03999996,
WUSKWATIM,669767,3,8,13.80000019,0.94999999,1.04999995,0.89999998,1.10000002,0,73.18000031,-35,45,667019,1.03999996,0,0,0,0,1.03999996,
JENPEG,669768,1,9,4.15999985,0.94999999,1.04999995,0.89999998,1.10000002,4,31.86000061,-6,13,667026,1.03999996,0,0,0,0,1.03999996,
JENPEG,669769,2,9,4.15999985,0.94999999,1.04999995,0.89999998,1.10000002,4,31.86000061,-2.5,13,667026,1.03999996,0,0,0,0,1.03999996,
JENPEG,669770,3,9,4.15999985,0.94999999,1.04999995,0.89999998,1.10000002,4,31.86000061,-2.5,13,667026,1.03999996,0,0,0,0,1.03999996,
JENPEG,669771,4,9,4.15999985,0.94999999,1.04999995,0.89999998,1.10000002,4,31.86000061,-2.5,13,667026,1.03999996,0,0,0,0,1.03999996,
JENPEG,669772,5,9,4.15999985,0.94999999,1.04999995,0.89999998,1.10000002,4,31.86000061,-2.5,13,667026,1.03999996,0,0,0,0,1.03999996,
JENPEG,669773,6,9,4.15999985,0.94999999,1.04999995,0.89999998,1.10000002,4,31.86000061,-2.5,13,667026,1.03999996,0,0,0,0,1.03999996,
GRAND_RAPIDS,669774,1,10,13.80000019,0.94999999,1.04999995,0.89999998,1.10000002,0,125,-43,43,667028,1.02999997,0,0,0,0,1.02999997,
GRAND_RAPIDS,669775,2,10,13.80000019,0.94999999,1.04999995,0.89999998,1.10000002,0,125,-43,43,667028,1.02999997,0,0,0,0,1.02999997,
GRAND_RAPIDS,669776,3,10,13.80000019,0.94999999,1.04999995,0.89999998,1.10000002,0,125,-43,43,667028,1.02999997,0,0,0,0,1.02999997,
GRAND_RAPIDS,669777,4,10,13.80000019,0.94999999,1.04999995,0.89999998,1.10000002,0,125,-43,43,667028,1.02999997,0,0,0,0,1.02999997,
PINE_FALLS,669778,1,11,13.80000019,0.94999999,1.04999995,0.89999998,1.10000002,0,13.94999886,-6.70000029,6.70000029,669778,1,0,0,0,0,1,
PINE_FALLS,669779,2,11,13.80000019,0.94999999,1.04999995,0.89999998,1.10000002,0,13.94999886,-6.70000029,6.70000029,669779,1,0,0,0,0,1,
PINE_FALLS,669780,3,11,13.80000019,0.94999999,1.04999995,0.89999998,1.10000002,0,13.94999886,-6.70000029,6.70000029,669780,1,0,0,0,0,1,
PINE_FALLS,669781,4,11,13.80000019,0.94999999,1.04999995,0.89999998,1.10000002,0,18.89999962,-7,9.10000038,669781,1,0,0,0,0,1,
PINE_FALLS,669782,5,11,13.80000019,0.94999999,1.04999995,0.89999998,1.10000002,0,16.20000076,-3.5,6,669782,1,0,0,0,0,1,
PINE_FALLS,669783,6,11,13.80000019,0.94999999,1.04999995,0.89999998,1.10000002,0,16.20000076,-3.5,6,669783,1,0,0,0,0,1,
GREAT_FALLS,669784,1,12,11,0.94999999,1.04999995,0.89999998,1.10000002,16,22.5,-9.30000019,10.89999962,669784,1,0,0,0,0,1,
GREAT_FALLS,669785,2,12,11,0.94999999,1.04999995,0.89999998,1.10000002,13,18.89999962,-8.80000019,9.10000038,669785,1,0,0,0,0,1,
GREAT_FALLS,669786,3,12,11,0.94999999,1.04999995,0.89999998,1.10000002,18.89999962,27.00000191,-10.39999962,12,669786,1,0,0,0,0,1,
GREAT_FALLS,669787,4,12,11,0.94999999,1.04999995,0.89999998,1.10000002,16,26,-13.09999943,13.09999943,669787,1,0,0,0,0,1,
GREAT_FALLS,669788,5,12,11,0.94999999,1.04999995,0.89999998,1.10000002,16.5,22.5,-10.89999962,10.89999962,669788,1,0,0,0,0,1,
GREAT_FALLS,669789,6,12,11,0.94999999,1.04999995,0.89999998,1.10000002,13,18.89999962,-9.14999962,9.14999962,669789,1,0,0,0,0,1,
MCARTHUR,669790,1,13,6.9000001,0.94999999,1.04999995,0.89999998,1.10000002,0,7.64999962,-3.70000005,3.70000005,669790,1,0,0,0,0,1,
MCARTHUR,669790,2,13,6.9000001,0.94999999,1.04999995,0.89999998,1.10000002,0,7.64999962,-3.70000005,3.70000005,669790,1,0,0,0,0,1,
MCARTHUR,669791,3,13,6.9000001,0.94999999,1.04999995,0.89999998,1.10000002,0,7.64999962,-3.70000005,3.70000005,669791,1,0,0,0,0,1,
MCARTHUR,669791,4,13,6.9000001,0.94999999,1.04999995,0.89999998,1.10000002,0,7.64999962,-3.70000005,3.70000005,669791,1,0,0,0,0,1,
MCARTHUR,669792,5,13,6.9000001,0.94999999,1.04999995,0.89999998,1.10000002,0,7.64999962,-3.70000005,3.70000005,669792,1,0,0,0,0,1,
MCARTHUR,669792,6,13,6.9000001,0.94999999,1.04999995,0.89999998,1.10000002,0,7.64999962,-3.70000005,3.70000005,669792,1,0,0,0,0,1,
MCARTHUR,669793,7,13,6.9000001,0.94999999,1.04999995,0.89999998,1.10000002,0,7.64999962,-3.70000005,3.70000005,669793,1,0,0,0,0,1,
MCARTHUR,669793,8,13,6.9000001,0.94999999,1.04999995,0.89999998,1.10000002,0,7.64999962,-3.70000005,3.70000005,669793,1,0,0,0,0,1,
POINTDUBOIS,669794,1,14,6.9000001,0.94999999,1.04999995,0.89999998,1.10000002,0,8.36999989,-4,4,669794,1.02999997,0,0,0,0,0.95444375,
POINTDUBOIS,669794,12,14,6.9000001,0.94999999,1.04999995,0.89999998,1.10000002,0,5.9000001,-2.70000005,2.70000005,669794,1.02999997,0,0,0,0,0.95444375,
POINTDUBOIS,669794,2,14,6.9000001,0.94999999,1.04999995,0.89999998,1.10000002,0,3.4000001,-1.60000002,1.60000002,669794,1.02999997,0,0,0,0,0.95444375,
POINTDUBOIS,669795,6,14,6.5999999,0.94999999,1.04999995,0.89999998,1.10000002,0,4.5,-2.20000005,2.20000005,669795,1.02999997,0,0,0,0,1.00823021,
POINTDUBOIS,669796,10,14,6.5999999,0.94999999,1.04999995,0.89999998,1.10000002,0,5.9000001,-2.70000005,2.70000005,669796,1.02999997,0,0,0,0,1.02999997,
POINTDUBOIS,669796,8,14,6.5999999,0.94999999,1.04999995,0.89999998,1.10000002,0,4.5,-2.20000005,2.20000005,669796,1.02999997,0,0,0,0,1.02999997,
POINTDUBOIS,669796,9,14,6.5999999,0.94999999,1.04999995,0.89999998,1.10000002,0,5.9000001,-2.70000005,2.70000005,669796,1.02999997,0,0,0,0,1.02999997,
POINTDUBOIS,669798,13,14,6.5999999,0.94999999,1.04999995,0.89999998,1.10000002,0,5.9000001,-2.70000005,2.70000005,669798,1.02999997,0,0,0,0,1.02999997,
