oos_name,oos_monitored_end,oos_other_end,oos_cktid,oos_remote_end,oos_model,data_in_1,data_in_2,data_in_3,data_in_4,data_in_5,data_in_6,data_out_1,data_out_2,data_out_3,data_out_4,data_out_5,data_out_6,criteria_in_sspre,criteria_out_sspre,criteria_in_sspost,criteria_out_sspost,stat,oos_r,oos_x,angle_monitored,angle_remote,margin,violate
M602F,601001,601013,1,667501,SLNOS,87.00000000,0.04680000,0.02760000,0.00000000,0.00000000,0.00000000,87.00000000,-0.02760000,-0.04680000,0.00000000,0.00000000,0.00000000,110.0000000,110.0000000,50.00000000,50.00000000,1,-1.05215538,1.14109278,-30.98219299,-22.60262108,0.00000000,
D604I,608423,608412,1,667500,SLNOS,87.00000000,0.04680000,0.02760000,0.00000000,0.00000000,0.00000000,87.00000000,-0.02760000,-0.04680000,0.00000000,0.00000000,0.00000000,110.1100006,50.00000000,50.00000000,25.00000000,1,0.34747055,1.81406689,-27.08832741,-21.94936180,0.00000000,
L20D,657752,667048,1,667048,SLNOS,83.00000000,0.12540001,0.07300000,0.00000000,0.00000000,0.00000000,83.00000000,-0.07300000,-0.12540001,0.00000000,0.00000000,0.00000000,110.0000000,110.0000000,50.00000000,50.00000000,1,-1.41536736,2.57154369,-29.47274399,-27.70732689,0.00000000,
G82P,602057,667085,1,667085,SLNOS,82.40000153,0.14810000,0.08510000,0.00000000,0.00000000,0.00000000,82.40000153,-0.08540000,-0.14810000,0.00000000,0.00000000,0.00000000,110.0000000,110.0000000,50.00000000,50.00000000,1,-3.13073254,-6.18664694,-11.08039761,-10.83594990,0.00000000,
R50M,657757,602013,1,667046,SLNOS,83.00000000,0.15860000,0.08200000,0.00000000,0.00000000,0.00000000,83.00000000,-0.08500000,-0.15860000,0.00000000,0.00000000,0.00000000,110.0000000,110.0000000,50.00000000,50.00000000,1,-1.06722915,1.58612692,-29.51269341,-23.88461876,0.00000000,
