facility_name,bus_num,gen_id,gen_owner,bus_basekv,criteria_nlo,criteria_nhi,criteria_elo,criteria_ehi,pmin,pmax,qmin,qmax,remote_bus,schdvolt,stat,pout,qout,terminalvolt,remote_voltage,violate
MH,667100,S1,1193,230.0000000,0.94999999,1.04999995,0.89999998,1.10000002,0.00000000,0.00000000,0.00000000,0.00000000,667100,1.00000000,0,0.00000000,0.00000000,0.00000000,1.00000000,
LAURIERVR,669240,1,6,2.40000010,0.94999999,1.04999995,0.89999998,1.10000002,0.00000000,2.47499990,-1.07000005,1.12000000,669240,1.00000000,0,0.00000000,0.00000000,0.00000000,1.00000000,
LAURIERVR,669240,2,6,2.40000010,0.94999999,1.04999995,0.89999998,1.10000002,0.00000000,2.47499990,-1.07000005,1.12000000,669240,1.00000000,0,0.00000000,0.00000000,0.00000000,1.00000000,
LAURIERVR,669241,3,6,2.40000010,0.94999999,1.04999995,0.89999998,1.10000002,0.00000000,5.40000010,-2.59999990,2.59999990,669241,1.00000000,0,0.00000000,0.00000000,0.00000000,1.00000000,
LIMESTONE,669710,1,2,13.80000019,0.94999999,1.04999995,0.89999998,1.10000002,7.80000019,135.0000000,-40.00000000,78.00000000,667001,1.00999999,0,0.00000000,0.00000000,0.00000000,1.00999999,
LIMESTONE,669711,2,2,13.80000019,0.94999999,1.04999995,0.89999998,1.10000002,7.80000019,135.0000000,-40.00000000,78.00000000,667001,1.00999999,0,0.00000000,0.00000000,0.00000000,1.00999999,
LIMESTONE,669712,3,2,13.80000019,0.94999999,1.04999995,0.89999998,1.10000002,7.80000019,135.0000000,-40.00000000,78.00000000,667001,1.00999999,0,0.00000000,0.00000000,0.00000000,1.00999999,
LIMESTONE,669713,4,2,13.80000019,0.94999999,1.04999995,0.89999998,1.10000002,7.80000019,135.0000000,-40.00000000,78.00000000,667001,1.00999999,0,0.00000000,0.00000000,0.00000000,1.00999999,
LIMESTONE,669714,5,2,13.80000019,0.94999999,1.04999995,0.89999998,1.10000002,7.80000019,135.0000000,-40.00000000,78.00000000,667001,1.00999999,0,0.00000000,0.00000000,0.00000000,1.00999999,
LIMESTONE,669715,6,2,13.80000019,0.94999999,1.04999995,0.89999998,1.10000002,7.80000019,135.0000000,-40.00000000,78.00000000,667001,1.00999999,0,0.00000000,0.00000000,0.00000000,1.00999999,
LIMESTONE,669716,7,2,13.80000019,0.94999999,1.04999995,0.89999998,1.10000002,7.80000019,135.0000000,-40.00000000,78.00000000,667001,1.00999999,0,0.00000000,0.00000000,0.00000000,1.00999999,
LIMESTONE,669717,8,2,13.80000019,0.94999999,1.04999995,0.89999998,1.10000002,7.80000019,135.0000000,-40.00000000,78.00000000,667001,1.00999999,0,0.00000000,0.00000000,0.00000000,1.00999999,
LIMESTONE,669718,9,2,13.80000019,0.94999999,1.04999995,0.89999998,1.10000002,7.80000019,135.0000000,-40.00000000,78.00000000,667001,1.00999999,0,0.00000000,0.00000000,0.00000000,1.00999999,
LIMESTONE,669719,10,2,13.80000019,0.94999999,1.04999995,0.89999998,1.10000002,7.80000019,135.0000000,-40.00000000,78.00000000,667001,1.00999999,0,0.00000000,0.00000000,0.00000000,1.00999999,
LONGSPRUCE,669720,1,3,13.80000019,0.94999999,1.04999995,0.89999998,1.10000002,6.50000000,102.6999969,-50.00000000,79.00000000,667012,1.00000000,0,0.00000000,0.00000000,0.00000000,1.00000000,
LONGSPRUCE,669721,2,3,13.80000019,0.94999999,1.04999995,0.89999998,1.10000002,6.50000000,102.6999969,-50.00000000,79.00000000,667012,1.00000000,0,0.00000000,0.00000000,0.00000000,1.00000000,
LONGSPRUCE,669722,3,3,13.80000019,0.94999999,1.04999995,0.89999998,1.10000002,6.50000000,102.6999969,-50.00000000,79.00000000,667012,1.00000000,0,0.00000000,0.00000000,0.00000000,1.00000000,
