xformer_name,xformer_wind1_bus,xformer_wind2_bus,xformer_wind3_bus,xformer_id,winding1_basemva,winding2_basemva,winding3_basemva,winding1_basekv,winding2_basekv,winding3_basekv,winding1_rateA,winding1_rateB,winding1_rateC,winding2_rateA,winding2_rateB,winding2_rateC,winding3_rateA,winding3_rateB,winding3_rateC,p_winding1,q_winding1,p_winding2,q_winding2,p_winding3,q_winding3,amp_winding1,amp_winding2,amp_winding3,Ploss,Qloss,winding1_stat,winding2_stat,winding3_stat,violate
BANK 51,667500,667035,669101,51,720.0000000,720.0000000,720.0000000,500.0000000,230.0000000,46.00000000,1385.987183,1385.987183,1385.987183,2387.970947,2713.044189,3012.011475,2861.649170,2861.649170,2861.649170,-247.3937225,117.8304214,247.5997925,-191.5778198,-0.00000000,82.12309265,304.3867493,752.0126953,974.4554443,0.20606995,8.37569427,1,1,1,
BANK 52,667500,667035,669102,52,720.0000000,720.0000000,720.0000000,500.0000000,230.0000000,46.00000000,1385.987183,1385.987183,1385.987183,2387.970947,2713.044189,3012.011475,2861.649170,2861.649170,2861.649170,-247.7599792,126.6601410,248.0050507,-283.6692505,0.00000000,168.7868652,309.0935364,905.1083984,1975.666626,0.24507141,11.77775574,1,1,1,
BANK 1_8,667038,668148,669148,1,150.0000000,150.0000000,150.0000000,230.0000000,115.0000000,13.80000019,628.0566406,753.0655518,628.0566406,1255.109253,1411.244995,1255.109253,2510.218506,2510.218506,2510.218506,80.71696472,38.31943893,-80.64765167,-34.54117203,0.00000000,-0.00000000,216.3383179,432.6764221,0.00000000,0.06931305,3.77826691,1,1,1,
BANK 2_5,667038,668148,669149,2,120.0000000,120.0000000,120.0000000,230.0000000,115.0000000,13.80000019,442.0495300,529.9071655,442.0495300,884.0990601,1013.124268,884.0990601,2451.646729,2451.646729,2451.646729,61.05948639,28.96941948,-61.00638962,-26.11176109,-0.00000000,-0.00000000,163.6336212,327.2673950,0.00000000,0.05309677,2.85765839,1,1,1,
BANK 3,667038,668038,669150,3,171.0000000,171.0000000,171.0000000,230.0000000,115.0000000,13.80000019,714.9102783,830.8823242,714.9102783,1430.824585,1594.992920,1430.824585,2928.588379,2928.588379,2928.588379,90.87014008,43.77176666,-90.82038879,-39.50948715,-0.00000000,-0.00000000,244.2113342,488.4222412,0.00000000,0.04975128,4.26227951,1,1,1,
BANK 4,667038,668038,669151,4,120.0000000,120.0000000,120.0000000,230.0000000,115.0000000,13.80000019,442.0495300,529.9071655,442.0495300,884.0990601,1013.124268,884.0990601,2451.646729,2451.646729,2451.646729,61.30335999,28.91194534,-61.24638748,-26.04900932,0.00000000,-0.00000000,164.1078796,328.2171021,0.00000000,0.05697250,2.86293602,1,1,1,
BANK 71,667501,667041,669100,71,720.0000000,720.0000000,720.0000000,500.0000000,230.0000000,46.00000000,1385.987183,1662.999756,1385.987183,3012.011475,3570.032959,3012.011475,3966.145264,3966.145264,3966.145264,-153.6800842,125.2232208,154.0178833,-287.0621643,-0.00000000,176.7308044,219.9089050,782.5396118,2021.624268,0.33779907,14.89186096,1,1,1,
BANK 72,667501,667041,669135,72,720.0000000,720.0000000,720.0000000,500.0000000,230.0000000,46.00000000,1385.987183,1662.999756,1385.987183,3012.011475,3570.032959,3012.011475,3966.145264,3966.145264,3966.145264,-153.8682404,24.33000565,153.9163361,-20.06629944,-0.00000000,-0.00000000,172.8091583,372.8546143,0.00000000,0.04809570,4.26370621,1,1,1,
BANK 1_12,667047,668047,669152,1,150.0000000,150.0000000,150.0000000,230.0000000,115.0000000,13.80000019,703.1122437,842.9313965,703.1122437,1191.851807,1199.884521,1406.224487,2510.218506,2510.218506,2510.218506,70.91838074,0.85419995,-70.87526703,1.49819982,-0.00000000,-0.00000000,170.9655609,350.6996765,0.00000000,0.04311371,2.35239983,1,1,1,
BANK 2_9,667047,668047,669113,2,150.0000000,150.0000000,150.0000000,230.0000000,115.0000000,13.80000019,628.0566406,753.0655518,628.0566406,1199.884521,1199.884521,1255.109253,2510.218506,2510.218506,2510.218506,70.91884613,0.94760644,-70.87859344,1.40308845,0.00000000,0.00000000,170.9695435,350.7065430,0.00000000,0.04025269,2.35069489,1,1,1,
BANK 3_2,667047,668047,669153,3,168.7500000,168.7500000,168.7500000,230.0000000,115.0000000,13.80000019,705.1203613,845.9436646,705.1203613,1073.871460,1198.880493,1411.244995,2823.995850,2823.995850,2823.995850,68.43752289,0.92640883,-68.39899445,1.34241724,-0.00000000,0.00000000,164.9880066,338.4363708,0.00000000,0.03852844,2.26882601,1,1,1,
